a,b,seed,score_a
BT-v1,BT-v2,20000,0.25
BT-v1,BT-v2,20001,0.5
BT-v1,BT-v2,20002,0.5
BT-v1,BT-v2,20003,0.25
BT-v1,BT-v2,20004,0.0
BT-v1,BT-v2,20005,0.5
BT-v1,BT-v2,20006,0.0
BT-v1,BT-v2,20007,0.5
BT-v1,BT-v2,20008,0.25
BT-v1,BT-v2,20009,0.5
BT-v1,BT-v2,20010,0.25
BT-v1,BT-v2,20011,0.25
BT-v1,BT-v2,20012,0.25
BT-v1,BT-v2,20013,0.0
BT-v1,BT-v2,20014,0.0
BT-v1,BT-v2,20015,0.25
BT-v1,BT-v2,20016,0.5
BT-v1,BT-v2,20017,0.5
BT-v1,BT-v2,20018,0.0
BT-v1,BT-v2,20019,0.0
BT-v1,BT-v2,20020,0.25
BT-v1,BT-v2,20021,0.25
BT-v1,BT-v2,20022,0.25
BT-v1,BT-v2,20023,0.0
BT-v1,BT-v2,20024,0.0
BT-v1,BT-v2,20025,0.0
BT-v1,BT-v2,20026,0.0
BT-v1,BT-v2,20027,0.0
BT-v1,BT-v2,20028,0.0
BT-v1,BT-v2,20029,0.5
BT-v1,BT-v3,20000,0.5
BT-v1,BT-v3,20001,0.5
BT-v1,BT-v3,20002,0.5
BT-v1,BT-v3,20003,0.25
BT-v1,BT-v3,20004,0.25
BT-v1,BT-v3,20005,0.5
BT-v1,BT-v3,20006,0.0
BT-v1,BT-v3,20007,0.5
BT-v1,BT-v3,20008,0.25
BT-v1,BT-v3,20009,0.25
BT-v1,BT-v3,20010,0.5
BT-v1,BT-v3,20011,0.25
BT-v1,BT-v3,20012,0.0
BT-v1,BT-v3,20013,0.25
BT-v1,BT-v3,20014,0.25
BT-v1,BT-v3,20015,0.5
BT-v1,BT-v3,20016,0.5
BT-v1,BT-v3,20017,0.25
BT-v1,BT-v3,20018,0.0
BT-v1,BT-v3,20019,0.0
BT-v1,BT-v3,20020,0.0
BT-v1,BT-v3,20021,0.25
BT-v1,BT-v3,20022,0.0
BT-v1,BT-v3,20023,0.25
BT-v1,BT-v3,20024,0.0
BT-v1,BT-v3,20025,0.0
BT-v1,BT-v3,20026,0.0
BT-v1,BT-v3,20027,0.0
BT-v1,BT-v3,20028,0.0
BT-v1,BT-v3,20029,0.5
BT-v1,RL-s0-b300-a1.00,20000,0.0
BT-v1,RL-s0-b300-a1.00,20001,0.5
BT-v1,RL-s0-b300-a1.00,20002,0.5
BT-v1,RL-s0-b300-a1.00,20003,0.5
BT-v1,RL-s0-b300-a1.00,20004,0.0
BT-v1,RL-s0-b300-a1.00,20005,0.25
BT-v1,RL-s0-b300-a1.00,20006,0.0
BT-v1,RL-s0-b300-a1.00,20007,0.5
BT-v1,RL-s0-b300-a1.00,20008,0.25
BT-v1,RL-s0-b300-a1.00,20009,0.5
BT-v1,RL-s0-b300-a1.00,20010,0.25
BT-v1,RL-s0-b300-a1.00,20011,0.25
BT-v1,RL-s0-b300-a1.00,20012,0.25
BT-v1,RL-s0-b300-a1.00,20013,0.0
BT-v1,RL-s0-b300-a1.00,20014,0.0
BT-v1,RL-s0-b300-a1.00,20015,0.25
BT-v1,RL-s0-b300-a1.00,20016,0.5
BT-v1,RL-s0-b300-a1.00,20017,0.5
BT-v1,RL-s0-b300-a1.00,20018,0.0
BT-v1,RL-s0-b300-a1.00,20019,0.25
BT-v1,RL-s0-b300-a1.00,20020,0.25
BT-v1,RL-s0-b300-a1.00,20021,0.25
BT-v1,RL-s0-b300-a1.00,20022,0.5
BT-v1,RL-s0-b300-a1.00,20023,0.0
BT-v1,RL-s0-b300-a1.00,20024,0.25
BT-v1,RL-s0-b300-a1.00,20025,0.0
BT-v1,RL-s0-b300-a1.00,20026,0.25
BT-v1,RL-s0-b300-a1.00,20027,0.0
BT-v1,RL-s0-b300-a1.00,20028,0.25
BT-v1,RL-s0-b300-a1.00,20029,0.5
BT-v1,RL-s10-b300-a1.00,20000,0.0
BT-v1,RL-s10-b300-a1.00,20001,0.5
BT-v1,RL-s10-b300-a1.00,20002,0.0
BT-v1,RL-s10-b300-a1.00,20003,0.25
BT-v1,RL-s10-b300-a1.00,20004,0.0
BT-v1,RL-s10-b300-a1.00,20005,0.5
BT-v1,RL-s10-b300-a1.00,20006,0.0
BT-v1,RL-s10-b300-a1.00,20007,0.25
BT-v1,RL-s10-b300-a1.00,20008,0.25
BT-v1,RL-s10-b300-a1.00,20009,0.25
BT-v1,RL-s10-b300-a1.00,20010,0.5
BT-v1,RL-s10-b300-a1.00,20011,0.0
BT-v1,RL-s10-b300-a1.00,20012,0.25
BT-v1,RL-s10-b300-a1.00,20013,0.0
BT-v1,RL-s10-b300-a1.00,20014,0.0
BT-v1,RL-s10-b300-a1.00,20015,0.0
BT-v1,RL-s10-b300-a1.00,20016,0.5
BT-v1,RL-s10-b300-a1.00,20017,0.25
BT-v1,RL-s10-b300-a1.00,20018,0.0
BT-v1,RL-s10-b300-a1.00,20019,0.0
BT-v1,RL-s10-b300-a1.00,20020,0.0
BT-v1,RL-s10-b300-a1.00,20021,0.25
BT-v1,RL-s10-b300-a1.00,20022,0.0
BT-v1,RL-s10-b300-a1.00,20023,0.0
BT-v1,RL-s10-b300-a1.00,20024,0.0
BT-v1,RL-s10-b300-a1.00,20025,0.0
BT-v1,RL-s10-b300-a1.00,20026,0.0
BT-v1,RL-s10-b300-a1.00,20027,0.0
BT-v1,RL-s10-b300-a1.00,20028,0.0
BT-v1,RL-s10-b300-a1.00,20029,0.5
BT-v1,RL-s11-b300-a1.00,20000,0.0
BT-v1,RL-s11-b300-a1.00,20001,0.5
BT-v1,RL-s11-b300-a1.00,20002,0.25
BT-v1,RL-s11-b300-a1.00,20003,0.25
BT-v1,RL-s11-b300-a1.00,20004,0.0
BT-v1,RL-s11-b300-a1.00,20005,0.5
BT-v1,RL-s11-b300-a1.00,20006,0.0
BT-v1,RL-s11-b300-a1.00,20007,0.5
BT-v1,RL-s11-b300-a1.00,20008,0.25
BT-v1,RL-s11-b300-a1.00,20009,0.5
BT-v1,RL-s11-b300-a1.00,20010,0.25
BT-v1,RL-s11-b300-a1.00,20011,0.25
BT-v1,RL-s11-b300-a1.00,20012,0.25
BT-v1,RL-s11-b300-a1.00,20013,0.0
BT-v1,RL-s11-b300-a1.00,20014,0.0
BT-v1,RL-s11-b300-a1.00,20015,0.25
BT-v1,RL-s11-b300-a1.00,20016,0.5
BT-v1,RL-s11-b300-a1.00,20017,0.25
BT-v1,RL-s11-b300-a1.00,20018,0.0
BT-v1,RL-s11-b300-a1.00,20019,0.25
BT-v1,RL-s11-b300-a1.00,20020,0.0
BT-v1,RL-s11-b300-a1.00,20021,0.25
BT-v1,RL-s11-b300-a1.00,20022,0.25
BT-v1,RL-s11-b300-a1.00,20023,0.25
BT-v1,RL-s11-b300-a1.00,20024,0.5
BT-v1,RL-s11-b300-a1.00,20025,0.0
BT-v1,RL-s11-b300-a1.00,20026,0.0
BT-v1,RL-s11-b300-a1.00,20027,0.25
BT-v1,RL-s11-b300-a1.00,20028,0.0
BT-v1,RL-s11-b300-a1.00,20029,0.5
BT-v1,RL-s12-b300-a1.00,20000,0.0
BT-v1,RL-s12-b300-a1.00,20001,0.5
BT-v1,RL-s12-b300-a1.00,20002,0.25
BT-v1,RL-s12-b300-a1.00,20003,0.25
BT-v1,RL-s12-b300-a1.00,20004,0.0
BT-v1,RL-s12-b300-a1.00,20005,0.5
BT-v1,RL-s12-b300-a1.00,20006,0.0
BT-v1,RL-s12-b300-a1.00,20007,0.5
BT-v1,RL-s12-b300-a1.00,20008,0.25
BT-v1,RL-s12-b300-a1.00,20009,0.25
BT-v1,RL-s12-b300-a1.00,20010,0.25
BT-v1,RL-s12-b300-a1.00,20011,0.25
BT-v1,RL-s12-b300-a1.00,20012,0.0
BT-v1,RL-s12-b300-a1.00,20013,0.25
BT-v1,RL-s12-b300-a1.00,20014,0.0
BT-v1,RL-s12-b300-a1.00,20015,0.0
BT-v1,RL-s12-b300-a1.00,20016,0.5
BT-v1,RL-s12-b300-a1.00,20017,0.25
BT-v1,RL-s12-b300-a1.00,20018,0.0
BT-v1,RL-s12-b300-a1.00,20019,0.0
BT-v1,RL-s12-b300-a1.00,20020,0.0
BT-v1,RL-s12-b300-a1.00,20021,0.25
BT-v1,RL-s12-b300-a1.00,20022,0.0
BT-v1,RL-s12-b300-a1.00,20023,0.25
BT-v1,RL-s12-b300-a1.00,20024,0.0
BT-v1,RL-s12-b300-a1.00,20025,0.0
BT-v1,RL-s12-b300-a1.00,20026,0.0
BT-v1,RL-s12-b300-a1.00,20027,0.0
BT-v1,RL-s12-b300-a1.00,20028,0.0
BT-v1,RL-s12-b300-a1.00,20029,0.5
BT-v1,RL-s13-b300-a1.00,20000,0.0
BT-v1,RL-s13-b300-a1.00,20001,0.5
BT-v1,RL-s13-b300-a1.00,20002,0.25
BT-v1,RL-s13-b300-a1.00,20003,0.25
BT-v1,RL-s13-b300-a1.00,20004,0.0
BT-v1,RL-s13-b300-a1.00,20005,0.25
BT-v1,RL-s13-b300-a1.00,20006,0.0
BT-v1,RL-s13-b300-a1.00,20007,0.5
BT-v1,RL-s13-b300-a1.00,20008,0.0
BT-v1,RL-s13-b300-a1.00,20009,0.25
BT-v1,RL-s13-b300-a1.00,20010,0.25
BT-v1,RL-s13-b300-a1.00,20011,0.25
BT-v1,RL-s13-b300-a1.00,20012,0.0
BT-v1,RL-s13-b300-a1.00,20013,0.0
BT-v1,RL-s13-b300-a1.00,20014,0.0
BT-v1,RL-s13-b300-a1.00,20015,0.5
BT-v1,RL-s13-b300-a1.00,20016,0.5
BT-v1,RL-s13-b300-a1.00,20017,0.25
BT-v1,RL-s13-b300-a1.00,20018,0.0
BT-v1,RL-s13-b300-a1.00,20019,0.0
BT-v1,RL-s13-b300-a1.00,20020,0.0
BT-v1,RL-s13-b300-a1.00,20021,0.25
BT-v1,RL-s13-b300-a1.00,20022,0.0
BT-v1,RL-s13-b300-a1.00,20023,0.0
BT-v1,RL-s13-b300-a1.00,20024,0.25
BT-v1,RL-s13-b300-a1.00,20025,0.0
BT-v1,RL-s13-b300-a1.00,20026,0.0
BT-v1,RL-s13-b300-a1.00,20027,0.0
BT-v1,RL-s13-b300-a1.00,20028,0.0
BT-v1,RL-s13-b300-a1.00,20029,0.5
BT-v1,RL-s14-b300-a1.00,20000,0.0
BT-v1,RL-s14-b300-a1.00,20001,0.5
BT-v1,RL-s14-b300-a1.00,20002,0.25
BT-v1,RL-s14-b300-a1.00,20003,0.5
BT-v1,RL-s14-b300-a1.00,20004,0.0
BT-v1,RL-s14-b300-a1.00,20005,0.5
BT-v1,RL-s14-b300-a1.00,20006,0.0
BT-v1,RL-s14-b300-a1.00,20007,0.5
BT-v1,RL-s14-b300-a1.00,20008,0.25
BT-v1,RL-s14-b300-a1.00,20009,0.5
BT-v1,RL-s14-b300-a1.00,20010,0.5
BT-v1,RL-s14-b300-a1.00,20011,0.25
BT-v1,RL-s14-b300-a1.00,20012,0.0
BT-v1,RL-s14-b300-a1.00,20013,0.25
BT-v1,RL-s14-b300-a1.00,20014,0.0
BT-v1,RL-s14-b300-a1.00,20015,0.0
BT-v1,RL-s14-b300-a1.00,20016,0.5
BT-v1,RL-s14-b300-a1.00,20017,0.25
BT-v1,RL-s14-b300-a1.00,20018,0.0
BT-v1,RL-s14-b300-a1.00,20019,0.0
BT-v1,RL-s14-b300-a1.00,20020,0.0
BT-v1,RL-s14-b300-a1.00,20021,0.25
BT-v1,RL-s14-b300-a1.00,20022,0.25
BT-v1,RL-s14-b300-a1.00,20023,0.25
BT-v1,RL-s14-b300-a1.00,20024,0.25
BT-v1,RL-s14-b300-a1.00,20025,0.0
BT-v1,RL-s14-b300-a1.00,20026,0.0
BT-v1,RL-s14-b300-a1.00,20027,0.0
BT-v1,RL-s14-b300-a1.00,20028,0.0
BT-v1,RL-s14-b300-a1.00,20029,0.5
BT-v1,RL-s15-b300-a1.00,20000,0.0
BT-v1,RL-s15-b300-a1.00,20001,0.5
BT-v1,RL-s15-b300-a1.00,20002,0.25
BT-v1,RL-s15-b300-a1.00,20003,0.5
